new_topic_id,new_topic_new_id,new_topic_relevance_score,new_topic_topic_id
22052,7039,0.5,29
22053,7039,0.5,24
22054,7039,0.839681,25
22055,7040,0.158519,26
22056,7041,1.0,29
22057,7041,0.214378,25
22058,7042,1.0,22
22059,7043,0.5,29
22060,7043,0.5,21
22061,7044,0.214378,20
22062,7045,0.5,24
22063,7045,0.996023,25
22064,7045,0.5,28
22065,7046,0.108179,20
22066,7046,0.905476,25
22067,7047,1.0,23
22068,8678,1.0,23
22069,7048,0.360215,25
22070,7050,1.0,23
22071,7051,0.5,24
22072,7051,0.744043,25
22073,7051,0.5,28
22074,7052,1.0,28
22075,7053,1.0,24
22076,7053,0.108179,25
22077,7054,0.158519,25
22078,7055,0.650727,25
22079,8462,0.650727,25
22080,7056,1.0,21
22081,7057,0.891286,25
22082,7057,0.5,28
22083,7057,0.360215,20
22084,7057,0.5,24
22085,7058,0.158519,26
22086,7058,0.310843,30
22087,7058,0.684621,25
22088,7060,0.576289,26
22089,7060,1.0,29
22090,7060,0.94762,25
22091,7062,0.333333,22
22092,7062,0.999701,25
22093,7062,0.333333,28
22094,7062,0.999966,20
22095,7062,0.333333,24
22096,7063,1.0,19
22097,7063,0.161647,25
22098,7064,0.360215,20
22099,7064,0.5,24
22100,7064,0.5,28
22101,7065,0.5,24
22102,7065,0.5,28
22103,7067,0.451494,26
22104,7067,1.0,19
22105,7067,1.0,25
22106,7068,0.108179,20
22107,7068,0.158519,30
22108,7069,1.0,28
22109,7070,0.158519,20
22110,7070,1.0,23
22111,7070,0.413559,25
22112,7071,1.0,23
22113,7073,0.108179,20
22114,7073,1.0,24
22115,7073,1.0,25
22116,7074,0.158519,25
22117,7075,1.0,24
22118,7076,0.108179,20
22119,7076,1.0,24
22120,7077,1.0,29
22121,7077,0.360215,25
22122,7079,0.451494,16
22123,7079,0.999897,25
22124,7080,0.333333,22
22125,7080,0.929393,25
22126,7080,0.158519,20
22127,7080,0.333333,24
22128,7080,0.333333,19
22129,7081,0.5,24
22130,7081,0.5,28
22131,7082,0.5,29
22132,7082,0.5,24
22133,7082,0.891286,25
22134,7083,0.5,22
22135,7083,0.5,24
22136,7084,0.158519,30
22137,7084,0.988915,25
22138,7085,1.0,19
22139,7085,0.214378,25
22140,7086,1.0,24
22141,7086,0.614606,25
22142,7089,0.5,29
22143,7089,0.5,22
22144,7090,0.5,24
22145,7090,0.5,28
22146,7091,1.0,24
22147,7093,0.158519,20
