topic_id,topic_name
16,IPO
17,Economy - Fiscal
18,Economy - Macro
19,Finance
20,Earnings
21,Real Estate & Construction
22,Retail & Wholesale
23,Energy & Transportation
24,Technology
25,Financial Markets
26,Economy - Monetary
27,Mergers & Acquisitions
28,Manufacturing
29,Life Sciences
30,Blockchain
